Word1	Word2	Score
тигр	кот	6.69
тигр	тигр	10.0
самолет	машина	4.35
поезд	машина	4.62
телевидение	радио	7.15
медиум	радио	4.92
хлеб	масло	6.31
огурец 	картофель	4.69
врач	медсестра	6.15
профессор	доктор	6.77
студент	профессор	6.0
умный	студент	5.31
умный	тупой	6.31
запас	телефон	1.08
запас	диск	3.31
запас	ягуар 	0.46
запас	яйцо	1.0
акции	живой	0.54
акции	жизнь	1.15
дерево	лес	8.31
деньги	наличные	8.62
профессор	огурец	0.38
король	капуста	2.69
король	королева	7.38
король	ладья	6.62
епископ	раввин	6.46
святой	секс	3.38
трахаться	секс	7.81
футбол	баскетбол	6.85
футбол	теннис	6.0
Арафат	Джексон	1.46
физика	химия	7.23
пространство	химия	3.23
водка	джин	7.23
водка	бренди	7.46
напиток	машина	2.08
питье	ухо	0.46
пить	кушать	7.62
питье	мама	3.46
машина	автомобиль	8.85
самоцвет	драгоценность	8.77
путешествие	вояж	9.31
мальчик	парень	8.62
убежище	дурдом	4.54
маг	волшебник	9.31
горн	плита	3.62
пища	фрукт	6.77
птица	петух	8.0
птица	журавль	8.62
кран	орудие	2.54
брат	парень	5.0
монах	оракул	2.69
кладбище	Редколесье	1.46
пища	петух	4.0
берег	холм	3.31
лес	кладбище	2.62
берег	Редколесье	2.31
монах	раб	1.23
берег	лес	2.69
парень	маг	1.31
аккорд	улыбка	2.0
стекло	волшебник	1.85
полдень	струна	0.38
петух	вояж	0.23
деньги	доллар	8.38
деньги	наличные	8.92
деньги	валюта	8.77
деньги	операция	6.15
тигр	ягуар	7.0
тигр	кошачий	7.54
тигр	хищник	8.31
тигр	млекопитающее	7.54
тигр	животное	8.08
тигр	организм	5.0
тигр	фауна	5.46
психология	психиатрия	7.38
психология	наука	7.38
психология	дисциплина	5.77
планета	звезда	8.08
планета	луна	8.62
планета	солнце	8.15
прецедент	пример	6.69
прецедент	информация	5.08
прецедент	познание	5.15
прецедент	коллекция	2.31
прецедент	группа	2.23
прецедент	предшествующее	5.08
чашка	посуда	8.08
чашка	объект	4.92
чашка	артефакт	3.77
чашка	объект	4.15
чашка	сущность	2.31
чашка	еда	5.0
чашка	вещество	2.69
ягуар	кот	5.62
ягуар	автомобиль	6.38
энергия	министр	5.46
расследование	усилие	5.31
Марс	вода	3.92
изображение	поверхность	6.31
знак	выемка	3.46
среда	новости	2.15
миля	километр	7.92
компьютер	новости	6.69
атмосфера	ландшафт	4.38
президент	медаль	3.85
кожа	глаз	4.85
японец	американец	5.77
театр	история	4.69
волонтер	девиз	3.15
предубеждение	признание	2.85
век	год	7.46
век	нация	2.77
замедление	расизм	3.23
задержка	новости	2.15
мир	план	4.38
меньшинство	мир	2.54
попытка	мир	3.92
развертывание	отъезд	1.69
объявление	новости	6.69
объявление	усилие	1.62
журнал	ассоциация	3.0
доктор	персонал	7.23
школа	центр	4.15
причина	гипертония	4.23
Гарвард	Йель	7.62
больница	инфраструктура	5.85
жизнь	смерть	7.92
жизнь	срок	7.0
слово	подобие	4.0
комитет	рекомендация	3.62
губернатор	интервью	4.46
мир	обстановка	5.0
мир	страховка	2.0
путешествие	активность	6.08
потребитель	уверенность	3.38
потребитель	энергия	6.15
проблема	аэропорт	3.15
машина	полет	3.38
месяц	гостиница	2.54
тип	вид	6.77
ситуация	заключение	3.23
ситуация	изоляция	3.15
направление	комбинация	2.15
улица	место	6.31
улица	аллея	6.77
улица	квартал	6.85
улица	дети	5.77
список	близость	1.38
клетка	телефон	1.46
производство	подъем	5.08
отметка	показатель	6.69
СМИ	торговля	3.92
СМИ	преимущество	4.0
дивиденд	платеж	6.08
расчет	вычисление	7.77
объявление	продукция	3.54
прибыль	предупреждение	1.77
прибыль	потеря	6.85
доллар	иена	7.31
доллар	бакс	9.08
телефон	оборудование	5.69
пять	месяц	2.0
отчет	прибыль	4.92
жидкость	вода	8.62
марафон	спринт	7.92
семь	цикл	3.62
морепродукты	пища	7.08
морепродукты	омар	8.62
омар	пища	6.77
омар	вино	3.31
начало	год	6.0
начало	матч	5.85
чемпионат	турнир	8.31
линия	страховка	1.38
мужчина	женщина	8.62
человек	губернатор	5.0
убийство	человекоубийство	8.42
опера	спектакль	7.23
фокус	жизнь	3.62
зритель	серийный	3.23
возможность	девочка	2.69
население	развитие	3.46
мораль	важность	4.08
мораль	брак	4.92
Мексика	Бразилия	6.15
опера	промышленность	0.69
сахар	подход	0.62
практика	учреждение	2.38
министерство	культура	5.08
развитие	выпуск	3.15
опыт	музыка	2.46
музыка	проект	3.62
стекло	металл	4.77
алюминий	металл	7.46
шанс	достоверность	4.0
рок	джаз	8.0
музей	театр	7.31
наблюдение	архитектура	3.69
ливень	гроза	8.15
архитектура	век	4.92
